代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
大阪駅,すべての時間帯,2021年10月第4週,市区町村内,4.177972295
大阪駅,すべての時間帯,2021年10月第4週,都道府県内,-16.832066368
大阪駅,すべての時間帯,2021年10月第4週,都道府県外,-27.774499007
大阪駅,すべての時間帯,2021年11月第1週,市区町村内,3.446566427
大阪駅,すべての時間帯,2021年11月第1週,都道府県内,-17.187131526
大阪駅,すべての時間帯,2021年11月第1週,都道府県外,-25.546954796
大阪駅,すべての時間帯,2021年11月第2週,市区町村内,5.328449575
大阪駅,すべての時間帯,2021年11月第2週,都道府県内,-13.913564145
大阪駅,すべての時間帯,2021年11月第2週,都道府県外,-21.294764825
大阪駅,すべての時間帯,2021年11月第3週,市区町村内,3.424994254
大阪駅,すべての時間帯,2021年11月第3週,都道府県内,-17.610520936
大阪駅,すべての時間帯,2021年11月第3週,都道府県外,-20.927135752
大阪駅,すべての時間帯,2021年11月第4週,市区町村内,2.062552122
大阪駅,すべての時間帯,2021年11月第4週,都道府県内,-18.531483764
大阪駅,すべての時間帯,2021年11月第4週,都道府県外,-23.988537533
大阪駅,すべての時間帯,2021年12月第1週,市区町村内,-1.598278488
大阪駅,すべての時間帯,2021年12月第1週,都道府県内,-17.259641077
大阪駅,すべての時間帯,2021年12月第1週,都道府県外,-25.007357201
大阪駅,すべての時間帯,2021年12月第2週,市区町村内,8.465771855
大阪駅,すべての時間帯,2021年12月第2週,都道府県内,-17.048020723
大阪駅,すべての時間帯,2021年12月第2週,都道府県外,-29.327379324
大阪駅,すべての時間帯,2021年12月第3週,市区町村内,10.051024256
大阪駅,すべての時間帯,2021年12月第3週,都道府県内,-17.442135591
大阪駅,すべての時間帯,2021年12月第3週,都道府県外,-30.609467163
大阪駅,すべての時間帯,2021年12月第4週,市区町村内,6.846610454
大阪駅,すべての時間帯,2021年12月第4週,都道府県内,-16.501105810
大阪駅,すべての時間帯,2021年12月第4週,都道府県外,-29.315679345
