代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
宝塚駅,すべての時間帯,2021年9月第1週,都道府県外,22.489160639
宝塚駅,すべての時間帯,2021年9月第2週,市区町村内,-3.687020535
宝塚駅,すべての時間帯,2021年9月第2週,都道府県内,-24.850335633
宝塚駅,すべての時間帯,2021年9月第2週,都道府県外,22.456407079
宝塚駅,すべての時間帯,2021年9月第3週,市区町村内,2.669642687
宝塚駅,すべての時間帯,2021年9月第3週,都道府県内,-30.666801886
宝塚駅,すべての時間帯,2021年9月第3週,都道府県外,-20.490633792
宝塚駅,すべての時間帯,2021年9月第4週,市区町村内,6.207561290
宝塚駅,すべての時間帯,2021年9月第4週,都道府県内,-21.133721461
宝塚駅,すべての時間帯,2021年9月第4週,都道府県外,-5.866323200
宝塚駅,すべての時間帯,2021年9月第5週,市区町村内,-4.413026318
宝塚駅,すべての時間帯,2021年9月第5週,都道府県内,0.874210976
宝塚駅,すべての時間帯,2021年9月第5週,都道府県外,6.965880423
宝塚駅,すべての時間帯,2021年10月第1週,市区町村内,-0.073111118
宝塚駅,すべての時間帯,2021年10月第1週,都道府県内,-10.480402670
宝塚駅,すべての時間帯,2021年10月第1週,都道府県外,44.263379174
宝塚駅,すべての時間帯,2021年10月第2週,市区町村内,-1.105731108
宝塚駅,すべての時間帯,2021年10月第2週,都道府県内,1.790585928
宝塚駅,すべての時間帯,2021年10月第2週,都道府県外,68.750954224
宝塚駅,すべての時間帯,2021年10月第3週,市区町村内,-0.923712901
宝塚駅,すべての時間帯,2021年10月第3週,都道府県内,-9.098515428
宝塚駅,すべての時間帯,2021年10月第3週,都道府県外,22.609729052
宝塚駅,すべての時間帯,2021年10月第4週,市区町村内,-1.819552103
宝塚駅,すべての時間帯,2021年10月第4週,都道府県内,6.605222153
宝塚駅,すべての時間帯,2021年10月第4週,都道府県外,56.846240951
宝塚駅,すべての時間帯,2021年11月第1週,市区町村内,1.920956407
宝塚駅,すべての時間帯,2021年11月第1週,都道府県内,-1.215405939
宝塚駅,すべての時間帯,2021年11月第1週,都道府県外,58.154243468
宝塚駅,すべての時間帯,2021年11月第2週,市区町村内,3.342578548
宝塚駅,すべての時間帯,2021年11月第2週,都道府県内,-6.852116585
宝塚駅,すべての時間帯,2021年11月第2週,都道府県外,73.014004998
宝塚駅,すべての時間帯,2021年11月第3週,市区町村内,1.058269592
宝塚駅,すべての時間帯,2021年11月第3週,都道府県内,3.160902917
宝塚駅,すべての時間帯,2021年11月第3週,都道府県外,29.701001136
宝塚駅,すべての時間帯,2021年11月第4週,市区町村内,5.581379704
宝塚駅,すべての時間帯,2021年11月第4週,都道府県内,3.545930766
宝塚駅,すべての時間帯,2021年11月第4週,都道府県外,16.642016696
宝塚駅,すべての時間帯,2021年12月第1週,市区町村内,2.809296525
宝塚駅,すべての時間帯,2021年12月第1週,都道府県内,-6.161316077
宝塚駅,すべての時間帯,2021年12月第1週,都道府県外,19.108287794
宝塚駅,すべての時間帯,2021年12月第2週,市区町村内,0.763639622
宝塚駅,すべての時間帯,2021年12月第2週,都道府県内,-6.186693510
宝塚駅,すべての時間帯,2021年12月第2週,都道府県外,22.810758036
宝塚駅,すべての時間帯,2021年12月第3週,市区町村内,2.102376463
宝塚駅,すべての時間帯,2021年12月第3週,都道府県内,-2.717456629
宝塚駅,すべての時間帯,2021年12月第3週,都道府県外,-9.606698828
宝塚駅,すべての時間帯,2021年12月第4週,市区町村内,4.153795962
宝塚駅,すべての時間帯,2021年12月第4週,都道府県内,-3.870408352
宝塚駅,すべての時間帯,2021年12月第4週,都道府県外,5.038291012
