mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
51357174,28,28105,2020,1,2,2,180
51357183,28,28105,2020,1,0,0,10573
51357183,28,28105,2020,1,0,1,5582
51357183,28,28105,2020,1,0,2,6671
51357183,28,28105,2020,1,1,0,9806
51357183,28,28105,2020,1,1,1,5610
51357183,28,28105,2020,1,1,2,7602
51357183,28,28105,2020,1,2,0,10054
51357183,28,28105,2020,1,2,1,5601
51357183,28,28105,2020,1,2,2,7302
51357184,28,28105,2020,1,0,0,1809
51357184,28,28105,2020,1,0,1,576
51357184,28,28105,2020,1,0,2,1091
51357184,28,28105,2020,1,1,0,18906
51357184,28,28105,2020,1,1,1,1759
51357184,28,28105,2020,1,1,2,9880
51357184,28,28105,2020,1,2,0,13391
51357184,28,28105,2020,1,2,1,1377
51357184,28,28105,2020,1,2,2,7045
51357185,28,28105,2020,1,0,0,32
51357185,28,28105,2020,1,0,1,29
51357185,28,28105,2020,1,0,2,34
51357185,28,28105,2020,1,2,0,16
51357185,28,28105,2020,1,2,1,15
51357185,28,28105,2020,1,2,2,17
51357193,28,28105,2020,1,0,0,12711
51357193,28,28105,2020,1,0,1,11051
51357193,28,28105,2020,1,0,2,11659
51357193,28,28105,2020,1,1,0,20439
51357193,28,28105,2020,1,1,1,11367
51357193,28,28105,2020,1,1,2,15688
51357193,28,28105,2020,1,2,0,17946
51357193,28,28105,2020,1,2,1,11265
51357193,28,28105,2020,1,2,2,14388
51357194,28,28105,2020,1,0,0,2800
51357194,28,28105,2020,1,0,1,1521
51357194,28,28105,2020,1,0,2,2074
51357194,28,28105,2020,1,1,0,3496
51357194,28,28105,2020,1,1,1,1567
51357194,28,28105,2020,1,1,2,2450
51357194,28,28105,2020,1,2,0,3271
51357194,28,28105,2020,1,2,1,1552
51357194,28,28105,2020,1,2,2,2329
52350103,28,28105,2020,1,0,0,24031
52350103,28,28105,2020,1,0,1,25738
52350103,28,28105,2020,1,0,2,25313
52350103,28,28105,2020,1,1,0,22886
52350103,28,28105,2020,1,1,1,25186
52350103,28,28105,2020,1,1,2,24945
52350103,28,28105,2020,1,2,0,23255
52350103,28,28105,2020,1,2,1,25364
52350103,28,28105,2020,1,2,2,25064
52350104,28,28105,2020,1,0,0,5118
52350104,28,28105,2020,1,0,1,5782
52350104,28,28105,2020,1,0,2,5450
52350104,28,28105,2020,1,1,0,9475
52350104,28,28105,2020,1,1,1,6022
52350104,28,28105,2020,1,1,2,7522
52350104,28,28105,2020,1,2,0,8070
52350104,28,28105,2020,1,2,1,5944
52350104,28,28105,2020,1,2,2,6854
52350112,28,28105,2020,1,0,0,9115
52350112,28,28105,2020,1,0,1,10837
52350112,28,28105,2020,1,0,2,10079
52350112,28,28105,2020,1,1,0,8977
52350112,28,28105,2020,1,1,1,11147
52350112,28,28105,2020,1,1,2,10072
52350112,28,28105,2020,1,2,0,9021
52350112,28,28105,2020,1,2,1,11047
52350112,28,28105,2020,1,2,2,10074
52350113,28,28105,2020,1,0,0,28370
52350113,28,28105,2020,1,0,1,24469
52350113,28,28105,2020,1,0,2,26734
52350113,28,28105,2020,1,1,0,28140
52350113,28,28105,2020,1,1,1,24181
52350113,28,28105,2020,1,1,2,26776
52350113,28,28105,2020,1,2,0,28214
52350113,28,28105,2020,1,2,1,24274
52350113,28,28105,2020,1,2,2,26762
52350122,28,28105,2020,1,0,0,4102
52350122,28,28105,2020,1,0,1,5154
52350122,28,28105,2020,1,0,2,4587
52350122,28,28105,2020,1,1,0,3858
52350122,28,28105,2020,1,1,1,5304
52350122,28,28105,2020,1,1,2,4605
52350122,28,28105,2020,1,2,0,3937
